doctor_id,doctor_name,specialization,department
201,Dr. Sarah Jones,Pulmonology,Internal Medicine
202,Dr. Michael Lee,Endocrinology,Endocrinology
203,Dr. Linda Smith,Cardiology,Cardiology
204,Dr. Christopher Brown,Neurology,Neurology
205,Dr. Jennifer Taylor,Pediatrics,Pediatrics
206,Dr. Robert Johnson,Oncology,Oncology
207,Dr. Amanda Martinez,Dermatology,Dermatology
208,Dr. David Wilson,Gastroenterology,Gastroenterology
209,Dr. Samantha Miller,Rheumatology,Rheumatology
210,Dr. Daniel Thomas,Nephrology,Nephrology
211,Dr. Emily Harris,Psychiatry,Psychiatry
212,Dr. Matthew Adams,Urology,Urology
213,Dr. Lauren Scott,Ophthalmology,Ophthalmology
214,Dr. Justin Turner,Orthopedics,Orthopedics
215,Dr. Ashley King,Geriatrics,Geriatrics
216,Dr. Megan Clark,Pulmonology,Internal Medicine
217,Dr. Kevin White,Endocrinology,Endocrinology
218,Dr. Samantha Garcia,Cardiology,Cardiology
219,Dr. Joshua Martin,Neurosurgery,Neurosurgery
220,Dr. Elizabeth Baker,Oncology,Oncology
